term,simple
Secretion,Release
Sedative,A drug to calm or make less anxious
Seminoma,A type of testes cancer
Sequentially,In a row
Serum,Clear liquid part of blood
Shunt,Artificial or natural channel running between two other channels
Simultaneous,At the same time
Single-blind,"Typically, a study design in which the investigator, but not the subject, knows the identity of the treatment assignment.
Occasionally the subject, but not the investigator, knows the assignment."
Sleep apnea,Breathing problems while sleeping
Software,Computer program
Somatic,Having to do with the body
Somnolence,Sleepiness
Spirometer,An instrument to measure the amount of air taken into and exhaled from the lungs
Staging,A determination of the extent of the disease
Standard of care,The usual treatment for the disease
Stenosis,"Narrowing of a duct, tube, or one of the heart valves"
Stent,A metal (or plastic) tube placed inside a blood vessel that keeps it open to prevent blockage
Sternum,Breastbone
Stimuli,Something which causes a change
Stomatitis,Mouth sores; inflammation of the mouth
Stratify,"Arrange in groups of analysis of results (e.g., stratify by age, sex, etc.)"
Stupor,Stunned state in which it is difficult to get a response or the attention of the subject
Subclavial,Under the collarbone
Subcutaneous (SC),Under the skin
Sublingual,Under the tongue
Submandibular gland,Gland responsible for secreting saliva
Submit your request in writing,Write a letter
Substantial communication barrier,Communication problem
Superficial,Near the surface
Supine position,Lying on the back
Supplement,Add
Supportive care,"General medical care aimed at symptoms, not intended to improve or cure underlying disease"
Suspected violation,Possible violation
Suture,Stitches
Symptom,Signs of disease or illness
Symptomatic,Having symptoms
Syncope,Fainting or lightheadedness
Syndrome,A condition characterized by a set of symptoms
Systemic,Distributed throughout the body
Systolic blood pressure,Top number in blood pressure; pertaining to contraction phase of heartbeat
Tachycardia,Fast heart rate
Teratogenic,Capable of causing malformations in unborn fetuses
Testes,Male sex glands; male organs which produce sperm
Therapeutic dose,The amount of medication needed to treat the condition
Thorax,The chest
Thrombosis,Blood clotting within blood vessels
TID,Three times a day
Tinnitus,Ringing in the ears
Titration,Gradual alteration of drug dose to determine desired effect or most beneficial strength of drug
T-lymphocytes,Type of white blood cells involved in immune reactions
Tolerance,"Decrease in response to a fixed dosage of drug; over time, higher and higher doses of a drug are needed to get the desired effect"
Topical application,Applied to the surface of the skin
Toxicity,Side effects or undesirable effects of a drug
Trachea,Windpipe
Tranquilizer,Drug used to control anxiety
Transdermal,Through the skin
Transiently,Temporarily
Trauma,Injury; wound
Treadmill,Walking machine often used to determine heart function
Treatment alternatives and options,Treatment choices
Tremor,Shakiness
Trial,Study
Triglyceride,Fat in the blood
Unable to agree to a requested restriction,Can�t agree with your request
Under the custody of law enforcement,In legal custody
Underpayment exists,We owe you money
Upon your request,If you ask
Uptake,"Absorption and incorporation of a substance by living tissue; absorb and incorporate a substance, taking in of a substance by living tissue"
Ureter,the tube that carries urine from the kidneys to by bladder
Urethra,the tube that carries urine from the bladder outside the body
Urinalysis,"Urine exam, test of the urine"
Urologist,Doctor who treats disorders of the urinary tracts of men and women
Use or disclose,Use or give out; share; release
Utilize,Use
Valvuloplasty,"Plastic repair of a valve, especially of the heart"
Varices,"Enlarged veins, usually in legs or lining of tube between mouth and stomach"
Vasospasm,Narrowing of blood vessels due to spasm of vessel walls
Vector,"A carrier, usually an insect, that carries and transmits disease- causing microorganisms"
Vehicle preparation,Lotion that contains the drug
Vein,blood vessel
Venipuncture,"Entering vein with a needle, generally through the skin"
Verbal,Speak or talk
Verticle transmission,Spread of disease
Voluntary,"Free of coercion, duress, or undue inducement. Used in the research context to refer to a subject's decision to take part (or to continue to take part) in a research activity."
Waive,Give up
Washout period,Wait until a particular medication is no longer present in the body
WBC,White blood cell
We are required to abide,We must
We may use and disclose medical information about you for hospital operations,We may share your medical information to run the hospital
Withdraw,Leave the study
White blood cell (WBC),count measures infection-fighting cells in your blood
wbc count,White blood cell count; immune cells that fight infections and disease
platelet count,"Number of platelets, cells that help with blood clotting and preventing bleeding"
rbc count,Red blood cell count; cells that carry oxygen from lungs to body tissues
mcv,Mean corpuscular volume; average size of red blood cells
mch,Mean corpuscular hemoglobin; average amount of hemoglobin in each red blood cell
mchc,Mean corpuscular hemoglobin concentration; average concentration of hemoglobin in red blood cells
esr,Erythrocyte sedimentation rate; measures inflammation in the body
crp,C-reactive protein; marker of inflammation and infection
reticulocyte count,Immature red blood cells; indicates bone marrow activity and red cell production
rdw,Red cell distribution width; measures variation in size of red blood cells
sugar,Glucose in urine; indicates diabetes or kidney problems
pus cells,White blood cells in urine; indicates urinary tract infection or inflammation
epithelial cells,Normal skin cells in urine; few to moderate amounts are normal
casts,Protein cylinders in urine; indicates kidney problems if present
crystals,Mineral deposits in urine; may indicate kidney stones or other issues
bile salts,Bile compounds in urine; abnormal if present in urine
bile pigments,Bilirubin in urine; indicates liver or kidney problems
ketone bodies,Byproducts of fat breakdown in urine; indicates uncontrolled diabetes or starvation
urobilinogen,Breakdown product of hemoglobin in urine; elevated with liver or blood disorders
ph,Acidity or alkalinity level; normal blood pH is 7.35-7.45 for proper body function
urea,Waste product from protein breakdown; filtered by kidneys and excreted in urine
creatinine,Waste product from muscle metabolism; kidney function marker
uric acid,Waste product from purine metabolism; elevated in gout and kidney disease
bun,Blood urea nitrogen; measures kidney function and protein breakdown
sodium,Essential electrolyte; maintains water balance and nerve function
potassium,Essential electrolyte; critical for heart rhythm and muscle contraction
chloride,Essential electrolyte; maintains acid-base balance and water distribution
egfr,Estimated glomerular filtration rate; estimates kidney function percentage
bilirubin total,Total bilirubin from hemoglobin breakdown; elevated in liver disease or jaundice
bilirubin direct,Conjugated bilirubin; bilirubin processed by liver; elevated in liver or bile duct disease
bilirubin indirect,Unconjugated bilirubin not yet processed by liver; elevated in hemolysis or immature liver
